,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,23/08/14,Almeria,Espanol,1,1,D,0,0,D,19,12,6,2,8,9,11,7,3,2,0,1
1,23/08/14,Granada,La Coruna,2,1,H,0,1,A,10,7,3,1,13,26,5,3,1,2,0,0
2,23/08/14,Malaga,Ath Bilbao,1,0,H,1,0,H,12,12,3,5,13,9,5,4,3,3,2,0
3,23/08/14,Sevilla,Valencia,1,1,D,1,0,H,10,11,3,1,23,8,3,3,4,2,0,1
4,24/08/14,Barcelona,Elche,3,0,H,1,0,H,12,3,6,0,11,13,3,1,0,1,1,0
5,24/08/14,Celta,Getafe,3,1,H,1,0,H,20,12,8,3,19,15,4,4,4,1,0,0
6,24/08/14,Eibar,Sociedad,1,0,H,1,0,H,12,19,5,4,13,14,5,6,4,1,0,0
7,24/08/14,Levante,Villarreal,0,2,A,0,0,D,9,12,2,6,11,14,3,4,1,3,0,0
8,25/08/14,Real Madrid,Cordoba,2,0,H,1,0,H,14,8,8,2,9,13,8,5,1,2,0,0
9,25/08/14,Vallecano,Ath Madrid,0,0,D,0,0,D,8,9,2,2,13,17,2,4,2,2,0,0
10,29/08/14,Getafe,Almeria,1,0,H,1,0,H,12,11,3,4,17,11,2,3,3,2,0,0
11,29/08/14,Valencia,Malaga,3,0,H,2,0,H,14,17,4,4,18,11,4,6,1,2,0,1
12,30/08/14,Ath Bilbao,Levante,3,0,H,1,0,H,10,10,5,2,13,17,2,11,1,4,0,0
13,30/08/14,Ath Madrid,Eibar,2,1,H,2,1,H,15,8,6,2,12,18,5,5,3,0,0,0
14,30/08/14,Cordoba,Celta,1,1,D,0,0,D,6,9,1,4,14,17,1,6,1,4,0,0
15,30/08/14,Espanol,Sevilla,1,2,A,0,1,A,4,13,2,6,20,24,3,7,4,2,0,0
16,31/08/14,Elche,Granada,1,1,D,0,0,D,15,5,3,4,12,17,8,4,4,4,0,0
17,31/08/14,La Coruna,Vallecano,2,2,D,1,1,D,10,12,5,2,16,18,2,4,4,6,0,0
18,31/08/14,Sociedad,Real Madrid,4,2,H,2,2,D,13,19,5,5,18,12,8,6,1,2,0,0
19,31/08/14,Villarreal,Barcelona,0,1,A,0,0,D,9,20,0,8,12,9,3,10,0,2,0,0
20,12/09/14,Almeria,Cordoba,1,1,D,1,1,D,12,11,2,4,14,22,8,2,4,4,0,0
21,13/09/14,Barcelona,Ath Bilbao,2,0,H,0,0,D,15,3,8,2,12,11,5,1,1,1,0,0
22,13/09/14,Celta,Sociedad,2,2,D,1,0,H,13,20,6,5,13,15,5,8,1,5,0,0
23,13/09/14,Malaga,Levante,0,0,D,0,0,D,18,10,7,0,10,15,20,1,1,2,0,0
24,13/09/14,Real Madrid,Ath Madrid,1,2,A,1,1,D,21,9,4,2,12,12,4,4,4,7,0,0
25,14/09/14,Granada,Villarreal,0,0,D,0,0,D,9,14,3,3,12,13,9,5,3,2,0,0
26,14/09/14,Sevilla,Getafe,2,0,H,1,0,H,12,7,4,1,10,25,8,5,2,6,0,0
27,14/09/14,Valencia,Espanol,3,1,H,1,0,H,11,8,6,3,15,13,7,8,1,1,0,0
28,14/09/14,Vallecano,Elche,2,3,A,1,1,D,14,12,4,5,11,23,6,5,2,2,0,0
29,15/09/14,Eibar,La Coruna,0,1,A,0,1,A,14,4,2,1,11,23,4,8,0,5,0,0
30,19/09/14,Elche,Eibar,0,2,A,0,2,A,15,8,6,4,9,10,10,7,2,1,0,0
31,20/09/14,Ath Bilbao,Granada,0,1,A,0,1,A,13,3,5,2,14,20,7,5,2,4,0,0
32,20/09/14,Ath Madrid,Celta,2,2,D,2,1,H,18,5,8,5,9,17,6,3,1,3,0,0
33,20/09/14,Espanol,Malaga,2,2,D,1,0,H,13,9,8,3,14,16,7,2,2,3,0,0
34,20/09/14,La Coruna,Real Madrid,2,8,A,0,3,A,14,19,5,13,8,9,2,3,1,1,0,0
35,21/09/14,Cordoba,Sevilla,1,3,A,0,1,A,9,15,3,8,11,24,7,4,6,2,0,0
36,21/09/14,Levante,Barcelona,0,5,A,0,2,A,9,17,2,8,13,11,3,6,1,2,1,0
37,21/09/14,Sociedad,Almeria,1,2,A,0,1,A,22,13,6,5,19,17,13,7,1,6,0,1
38,21/09/14,Villarreal,Vallecano,4,2,H,1,2,A,19,10,9,3,11,18,11,5,2,2,0,0
39,22/09/14,Getafe,Valencia,0,3,A,0,2,A,12,7,5,3,25,17,6,1,6,1,0,1
40,23/09/14,Celta,La Coruna,2,1,H,1,0,H,11,5,4,3,15,15,13,4,3,3,0,0
41,23/09/14,Real Madrid,Elche,5,1,H,3,1,H,23,10,12,3,15,15,8,2,2,1,0,0
42,24/09/14,Almeria,Ath Madrid,0,1,A,0,0,D,6,19,1,9,14,16,2,10,3,6,0,0
43,24/09/14,Eibar,Villarreal,1,1,D,1,0,H,7,15,3,4,14,17,2,10,4,4,0,0
44,24/09/14,Granada,Levante,0,1,A,0,0,D,8,10,0,4,14,13,5,3,2,6,0,0
45,24/09/14,Malaga,Barcelona,0,0,D,0,0,D,6,10,2,0,15,13,2,8,2,2,0,0
46,24/09/14,Sevilla,Sociedad,1,0,H,1,0,H,19,8,8,1,13,7,11,4,6,2,0,0
47,24/09/14,Vallecano,Ath Bilbao,2,1,H,1,1,D,15,8,5,3,18,17,1,2,2,2,0,0
48,25/09/14,Espanol,Getafe,2,0,H,0,0,D,10,6,4,2,16,17,6,4,1,2,0,0
49,25/09/14,Valencia,Cordoba,3,0,H,2,0,H,17,2,7,1,11,23,3,3,1,3,0,0
50,26/09/14,Elche,Celta,0,1,A,0,0,D,14,16,3,4,12,14,0,4,4,2,0,0
51,27/09/14,Ath Bilbao,Eibar,0,0,D,0,0,D,13,10,1,2,13,22,6,2,5,6,0,0
52,27/09/14,Ath Madrid,Sevilla,4,0,H,2,0,H,11,4,6,1,14,16,5,3,4,3,0,0
53,27/09/14,Barcelona,Granada,6,0,H,3,0,H,19,9,12,1,11,11,8,1,1,3,0,0
54,27/09/14,Levante,Vallecano,0,2,A,0,2,A,7,13,0,5,21,16,5,7,4,3,0,0
55,27/09/14,Villarreal,Real Madrid,0,2,A,0,2,A,19,11,5,3,7,10,7,6,0,1,0,0
56,28/09/14,Cordoba,Espanol,0,0,D,0,0,D,10,4,4,2,13,26,3,5,2,6,0,0
57,28/09/14,Getafe,Malaga,1,0,H,1,0,H,9,10,3,0,8,16,4,4,0,3,0,1
58,28/09/14,La Coruna,Almeria,0,1,A,0,0,D,8,15,1,6,14,18,6,5,2,4,0,0
59,28/09/14,Sociedad,Valencia,1,1,D,1,1,D,18,7,5,2,13,17,11,4,2,5,0,0
60,03/10/14,Getafe,Cordoba,1,1,D,0,0,D,18,10,5,3,12,11,8,3,1,2,0,0
61,04/10/14,Almeria,Elche,2,2,D,1,1,D,16,6,3,3,13,18,9,5,2,4,0,1
62,04/10/14,Eibar,Levante,3,3,D,0,2,A,14,13,6,5,12,16,4,4,3,1,0,0
63,04/10/14,Malaga,Granada,2,1,H,0,1,A,17,8,3,5,12,15,3,3,1,4,1,0
64,04/10/14,Valencia,Ath Madrid,3,1,H,3,1,H,6,19,3,5,23,14,1,6,4,0,0,1
65,04/10/14,Vallecano,Barcelona,0,2,A,0,2,A,14,18,4,7,19,7,6,7,2,2,2,0
66,05/10/14,Celta,Villarreal,1,3,A,1,2,A,15,11,6,4,15,22,11,4,3,4,1,0
67,05/10/14,Espanol,Sociedad,2,0,H,1,0,H,10,13,4,4,20,12,4,4,6,2,0,0
68,05/10/14,Real Madrid,Ath Bilbao,5,0,H,2,0,H,19,6,14,5,9,10,8,7,1,2,0,0
69,05/10/14,Sevilla,La Coruna,4,1,H,2,1,H,16,7,10,5,11,10,9,2,2,2,0,0
70,17/10/14,Granada,Vallecano,0,1,A,0,0,D,9,8,1,2,17,13,3,6,4,5,0,0
71,18/10/14,Ath Bilbao,Celta,1,1,D,1,0,H,13,4,4,1,13,16,9,2,3,3,0,0
72,18/10/14,Barcelona,Eibar,3,0,H,0,0,D,27,4,12,2,9,13,12,3,2,2,0,0
73,18/10/14,Cordoba,Malaga,1,2,A,0,2,A,8,8,2,4,16,21,6,13,2,3,0,0
74,18/10/14,Levante,Real Madrid,0,5,A,0,2,A,11,21,1,11,13,8,6,3,4,0,0,0
75,19/10/14,Ath Madrid,Espanol,2,0,H,1,0,H,20,7,9,1,19,19,12,1,0,0,0,0
76,19/10/14,Elche,Sevilla,0,2,A,0,0,D,12,10,1,7,18,23,6,4,5,2,0,0
77,19/10/14,La Coruna,Valencia,3,0,H,2,0,H,11,8,5,1,19,19,3,5,3,3,0,0
78,19/10/14,Villarreal,Almeria,2,0,H,1,0,H,17,10,8,3,20,16,6,4,5,2,0,0
79,20/10/14,Sociedad,Getafe,1,2,A,0,0,D,13,16,2,7,10,13,8,4,1,3,0,0
80,24/10/14,Celta,Levante,3,0,H,1,0,H,13,4,4,0,14,16,7,0,0,3,0,0
81,25/10/14,Almeria,Ath Bilbao,0,1,A,0,0,D,7,6,3,1,10,14,4,8,2,1,0,0
82,25/10/14,Cordoba,Sociedad,1,1,D,0,1,A,7,7,3,1,13,12,5,4,3,2,0,0
83,25/10/14,Eibar,Granada,1,1,D,1,1,D,7,8,3,3,14,14,7,8,3,4,0,0
84,25/10/14,Real Madrid,Barcelona,3,1,H,1,1,D,18,16,6,5,11,10,3,9,2,4,0,0
85,25/10/14,Valencia,Elche,3,1,H,2,0,H,12,8,4,3,11,17,8,6,0,2,0,0
86,26/10/14,Espanol,La Coruna,0,0,D,0,0,D,16,5,5,1,12,17,11,0,2,4,0,0
87,26/10/14,Getafe,Ath Madrid,0,1,A,0,1,A,11,12,4,7,17,11,1,8,3,3,1,0
88,26/10/14,Malaga,Vallecano,4,0,H,3,0,H,18,10,8,4,18,21,7,4,1,4,0,0
89,26/10/14,Sevilla,Villarreal,2,1,H,0,0,D,8,11,4,4,19,15,3,2,3,4,0,0
90,31/10/14,La Coruna,Getafe,1,2,A,0,1,A,9,16,2,4,7,23,4,6,2,1,0,0
91,01/11/14,Ath Madrid,Cordoba,4,2,H,1,0,H,16,8,8,4,12,13,4,5,0,2,0,0
92,01/11/14,Barcelona,Celta,0,1,A,0,0,D,19,10,9,4,10,29,9,5,1,2,0,0
93,01/11/14,Granada,Real Madrid,0,4,A,0,2,A,11,18,5,8,19,9,3,4,1,2,0,0
94,01/11/14,Sociedad,Malaga,0,1,A,0,0,D,5,6,0,2,18,22,6,3,2,5,0,0
95,02/11/14,Ath Bilbao,Sevilla,1,0,H,1,0,H,9,4,2,1,24,11,4,8,4,3,0,0
96,02/11/14,Elche,Espanol,2,1,H,1,0,H,11,15,5,5,19,10,4,10,2,2,2,0
97,02/11/14,Levante,Almeria,2,1,H,1,0,H,11,14,5,5,17,17,3,6,3,2,0,0
98,02/11/14,Villarreal,Valencia,1,3,A,0,1,A,14,6,4,3,12,15,11,4,2,3,0,0
99,03/11/14,Vallecano,Eibar,2,3,A,0,1,A,16,8,6,5,10,14,11,2,1,2,0,0
100,07/11/14,Cordoba,La Coruna,0,0,D,0,0,D,14,6,6,2,10,5,3,2,4,0,0,1
101,08/11/14,Almeria,Barcelona,1,2,A,1,0,H,6,18,2,6,16,9,4,5,2,0,0,0
102,08/11/14,Celta,Granada,0,0,D,0,0,D,17,8,5,1,14,17,6,2,1,5,0,0
103,08/11/14,Getafe,Elche,0,0,D,0,0,D,16,11,3,5,11,8,9,2,1,2,0,0
104,08/11/14,Malaga,Eibar,2,1,H,0,1,A,15,7,8,3,9,15,5,3,3,2,0,1
105,08/11/14,Real Madrid,Vallecano,5,1,H,2,1,H,16,15,11,6,12,15,4,6,0,4,0,0
106,09/11/14,Espanol,Villarreal,1,1,D,0,1,A,11,9,4,5,16,25,6,7,3,3,0,0
107,09/11/14,Sevilla,Levante,1,1,D,1,0,H,15,16,6,5,13,10,6,5,2,6,0,0
108,09/11/14,Sociedad,Ath Madrid,2,1,H,1,1,D,11,4,5,2,17,17,2,1,2,6,0,1
109,09/11/14,Valencia,Ath Bilbao,0,0,D,0,0,D,8,4,1,1,13,17,2,4,0,2,0,0
110,21/11/14,Ath Bilbao,Espanol,3,1,H,2,0,H,9,8,5,3,15,18,5,3,0,5,0,0
111,22/11/14,Ath Madrid,Malaga,3,1,H,2,0,H,11,4,5,1,18,14,4,3,1,3,1,1
112,22/11/14,Barcelona,Sevilla,5,1,H,1,0,H,16,2,10,0,8,21,5,4,1,2,0,0
113,22/11/14,Eibar,Real Madrid,0,4,A,0,2,A,10,19,2,8,16,9,4,2,4,2,0,0
114,22/11/14,La Coruna,Sociedad,0,0,D,0,0,D,11,17,4,5,14,11,8,6,3,1,0,0
115,23/11/14,Elche,Cordoba,2,2,D,0,1,A,17,10,6,3,16,14,6,2,3,4,0,0
116,23/11/14,Levante,Valencia,2,1,H,0,0,D,10,17,5,6,20,18,4,5,2,1,0,0
117,23/11/14,Vallecano,Celta,1,0,H,1,0,H,9,14,3,4,14,16,2,9,6,4,0,0
118,23/11/14,Villarreal,Getafe,2,1,H,2,0,H,10,15,4,5,15,14,7,4,3,2,0,0
119,24/11/14,Granada,Almeria,0,0,D,0,0,D,24,3,11,1,10,7,10,5,4,0,0,1
120,28/11/14,Sociedad,Elche,3,0,H,2,0,H,12,13,8,5,15,15,2,1,2,4,0,0
121,29/11/14,Celta,Eibar,0,1,A,0,1,A,29,8,9,2,10,21,15,1,4,5,0,0
122,29/11/14,Espanol,Levante,2,1,H,2,1,H,10,16,4,3,21,10,5,6,2,3,0,0
123,29/11/14,Getafe,Ath Bilbao,1,2,A,0,1,A,14,8,7,3,12,15,2,4,7,5,0,0
124,29/11/14,Malaga,Real Madrid,1,2,A,0,1,A,12,21,7,9,17,11,5,6,2,2,0,1
125,30/11/14,Ath Madrid,La Coruna,2,0,H,1,0,H,9,3,4,1,16,18,5,3,2,2,0,0
126,30/11/14,Cordoba,Villarreal,0,2,A,0,1,A,11,10,2,7,7,13,9,8,2,2,0,0
127,30/11/14,Sevilla,Granada,5,1,H,1,1,D,13,9,8,4,18,20,7,4,1,2,0,0
128,30/11/14,Valencia,Barcelona,0,1,A,0,0,D,12,7,4,1,9,7,5,5,3,3,0,0
129,01/12/14,Almeria,Vallecano,0,1,A,0,0,D,11,11,1,4,14,12,5,6,4,4,0,0
130,06/12/14,Ath Bilbao,Cordoba,0,1,A,0,1,A,15,7,3,3,13,14,15,4,4,6,0,0
131,06/12/14,Elche,Ath Madrid,0,2,A,0,1,A,8,4,1,3,18,15,6,1,2,0,0,0
132,06/12/14,La Coruna,Malaga,0,1,A,0,1,A,14,8,6,3,14,15,5,5,4,3,0,0
133,06/12/14,Real Madrid,Celta,3,0,H,1,0,H,20,9,11,0,15,21,8,7,4,4,0,0
134,07/12/14,Barcelona,Espanol,5,1,H,1,1,D,15,3,7,2,6,11,5,2,0,4,0,0
135,07/12/14,Granada,Valencia,1,1,D,0,0,D,9,9,2,1,20,9,4,4,4,4,0,1
136,07/12/14,Vallecano,Sevilla,0,1,A,0,1,A,11,11,3,6,14,19,6,2,4,6,0,1
137,07/12/14,Villarreal,Sociedad,4,0,H,0,0,D,24,12,9,2,14,8,8,2,2,2,0,0
138,08/12/14,Eibar,Almeria,5,2,H,3,1,H,17,14,8,3,18,12,7,3,4,3,0,0
139,08/12/14,Levante,Getafe,1,1,D,0,0,D,16,5,3,1,14,17,4,0,3,4,0,0
140,12/12/14,Almeria,Real Madrid,1,4,A,1,2,A,16,15,3,8,14,8,2,8,4,4,0,0
141,13/12/14,Cordoba,Levante,0,0,D,0,0,D,13,12,4,3,6,19,7,6,0,3,0,0
142,13/12/14,Getafe,Barcelona,0,0,D,0,0,D,4,23,2,2,24,8,4,5,2,0,0,0
143,13/12/14,Malaga,Celta,1,0,H,1,0,H,12,14,4,8,15,13,1,9,5,4,0,0
144,13/12/14,Valencia,Vallecano,3,0,H,3,0,H,14,19,6,4,16,14,6,2,3,3,1,0
145,14/12/14,Ath Madrid,Villarreal,0,1,A,0,0,D,11,7,2,4,15,16,7,2,4,3,0,0
146,14/12/14,Espanol,Granada,2,1,H,1,0,H,12,7,4,6,13,19,2,3,2,4,0,1
147,14/12/14,Sevilla,Eibar,0,0,D,0,0,D,16,6,2,2,11,17,11,2,3,6,0,0
148,14/12/14,Sociedad,Ath Bilbao,1,1,D,1,0,H,14,12,4,5,12,21,3,6,0,3,0,1
149,15/12/14,La Coruna,Elche,1,0,H,1,0,H,15,10,3,4,19,19,7,5,5,2,0,0
150,19/12/14,Celta,Almeria,0,1,A,0,1,A,19,4,4,2,10,19,17,2,6,4,0,0
151,20/12/14,Barcelona,Cordoba,5,0,H,1,0,H,16,7,9,2,14,5,8,0,1,0,0,0
152,20/12/14,Eibar,Valencia,0,1,A,0,1,A,8,10,2,3,16,8,2,5,7,3,0,0
153,20/12/14,Levante,Sociedad,1,1,D,0,0,D,11,3,2,2,16,20,3,4,3,5,0,0
154,20/12/14,Vallecano,Espanol,1,3,A,1,1,D,16,7,5,4,11,20,4,5,3,4,0,1
155,21/12/14,Ath Bilbao,Ath Madrid,1,4,A,1,0,H,4,5,2,4,12,14,3,1,3,4,0,0
156,21/12/14,Elche,Malaga,1,2,A,1,0,H,9,19,3,10,21,13,5,4,2,1,0,0
157,21/12/14,Granada,Getafe,1,1,D,1,0,H,13,12,3,4,19,8,3,5,4,2,0,0
158,21/12/14,Villarreal,La Coruna,3,0,H,1,0,H,15,10,9,2,16,15,5,2,1,3,1,0
159,03/01/15,Ath Madrid,Levante,3,1,H,1,0,H,13,10,5,4,6,10,7,6,2,3,0,0
160,03/01/15,Elche,Villarreal,2,2,D,2,2,D,18,18,8,5,15,13,6,9,4,2,0,0
161,03/01/15,La Coruna,Ath Bilbao,1,0,H,1,0,H,8,12,4,4,20,16,5,2,1,1,0,0
162,03/01/15,Malaga,Almeria,1,2,A,0,1,A,14,6,6,4,19,17,7,1,5,4,0,1
163,03/01/15,Sevilla,Celta,1,0,H,1,0,H,10,16,4,2,28,17,1,8,4,5,0,1
164,04/01/15,Espanol,Eibar,1,2,A,0,2,A,15,12,6,6,9,15,6,3,1,1,0,0
165,04/01/15,Getafe,Vallecano,1,2,A,1,1,D,12,16,4,7,23,12,6,4,3,2,0,0
166,04/01/15,Sociedad,Barcelona,1,0,H,1,0,H,6,17,1,4,21,14,6,8,5,4,0,0
167,04/01/15,Valencia,Real Madrid,2,1,H,0,1,A,11,19,3,8,24,17,3,11,6,3,0,0
168,05/01/15,Cordoba,Granada,2,0,H,2,0,H,5,12,3,1,22,17,0,4,2,0,0,0
169,09/01/15,Levante,La Coruna,0,0,D,0,0,D,9,13,0,6,22,17,4,3,4,3,0,0
170,10/01/15,Celta,Valencia,1,1,D,0,1,A,14,4,4,2,20,19,11,2,3,3,0,0
171,10/01/15,Eibar,Getafe,2,1,H,1,0,H,12,7,5,3,19,12,2,3,2,1,0,0
172,10/01/15,Malaga,Villarreal,1,1,D,0,1,A,13,9,6,4,6,15,5,3,4,4,0,0
173,10/01/15,Real Madrid,Espanol,3,0,H,2,0,H,18,11,5,4,11,14,7,2,1,4,1,0
174,11/01/15,Almeria,Sevilla,0,2,A,0,0,D,19,12,6,6,16,12,5,5,1,2,0,0
175,11/01/15,Ath Bilbao,Elche,1,2,A,0,1,A,13,8,3,5,7,15,10,2,2,6,0,0
176,11/01/15,Barcelona,Ath Madrid,3,1,H,2,0,H,17,5,7,3,16,18,1,3,3,6,0,0
177,11/01/15,Granada,Sociedad,1,1,D,0,1,A,20,10,3,5,9,15,11,4,2,2,0,0
178,12/01/15,Vallecano,Cordoba,0,1,A,0,1,A,21,9,4,3,10,9,6,2,3,2,0,0
179,16/01/15,Cordoba,Eibar,1,1,D,1,0,H,14,6,5,1,18,12,2,3,4,3,1,1
180,17/01/15,Espanol,Celta,1,0,H,0,0,D,15,3,3,2,9,23,9,1,3,3,0,0
181,17/01/15,Sociedad,Vallecano,0,1,A,0,0,D,10,12,2,4,12,20,8,4,0,4,0,0
182,17/01/15,Valencia,Almeria,3,2,H,2,2,D,15,8,8,2,14,18,8,4,2,2,0,0
183,17/01/15,Villarreal,Ath Bilbao,2,0,H,1,0,H,19,11,6,5,15,10,9,6,2,2,0,0
184,18/01/15,Ath Madrid,Granada,2,0,H,1,0,H,12,5,3,1,17,16,3,6,3,3,0,0
185,18/01/15,Elche,Levante,1,0,H,1,0,H,15,9,6,2,18,11,3,5,3,3,0,1
186,18/01/15,Getafe,Real Madrid,0,3,A,0,0,D,6,24,0,9,19,10,7,8,2,2,0,0
187,18/01/15,La Coruna,Barcelona,0,4,A,0,2,A,7,14,2,6,14,7,2,4,2,2,0,0
188,18/01/15,Sevilla,Malaga,2,0,H,1,0,H,4,4,3,1,9,6,2,0,3,1,0,0
189,24/01/15,Ath Madrid,Vallecano,3,1,H,2,1,H,12,10,5,3,15,12,8,5,1,1,0,0
190,24/01/15,Cordoba,Real Madrid,1,2,A,1,1,D,16,13,4,4,15,13,3,9,1,3,1,1
191,24/01/15,Elche,Barcelona,0,6,A,0,1,A,6,12,3,8,18,12,2,3,5,2,1,0
192,24/01/15,Sociedad,Eibar,1,0,H,0,0,D,19,9,4,4,6,17,9,5,2,2,0,0
193,24/01/15,Villarreal,Levante,1,0,H,0,0,D,15,11,4,1,12,8,6,3,0,3,0,0
194,25/01/15,Ath Bilbao,Malaga,1,1,D,0,0,D,11,8,5,3,16,17,8,2,0,1,0,0
195,25/01/15,Espanol,Almeria,3,0,H,2,0,H,18,9,9,1,16,12,9,7,2,1,0,0
196,25/01/15,La Coruna,Granada,2,2,D,2,1,H,13,5,7,2,18,15,7,2,3,3,1,0
197,25/01/15,Valencia,Sevilla,3,1,H,2,1,H,13,10,8,6,23,15,3,7,6,5,0,0
198,26/01/15,Getafe,Celta,2,1,H,1,1,D,13,7,6,2,9,17,6,2,2,5,0,0
199,30/01/15,Vallecano,La Coruna,1,2,A,1,1,D,11,13,4,6,14,18,10,7,4,5,0,0
200,31/01/15,Celta,Cordoba,1,0,H,0,0,D,19,8,9,3,10,10,8,2,2,6,0,0
201,31/01/15,Eibar,Ath Madrid,1,3,A,0,3,A,11,8,3,5,14,16,6,8,3,3,0,0
202,31/01/15,Granada,Elche,1,0,H,0,0,D,14,5,2,1,14,13,12,4,4,4,0,1
203,31/01/15,Real Madrid,Sociedad,4,1,H,2,1,H,26,8,11,2,8,11,10,3,3,1,0,0
204,01/02/15,Almeria,Getafe,1,0,H,1,0,H,12,12,7,7,18,10,6,3,3,3,1,1
205,01/02/15,Barcelona,Villarreal,3,2,H,1,1,D,19,9,7,3,10,20,8,2,1,2,0,0
206,01/02/15,Levante,Ath Bilbao,0,2,A,0,0,D,10,14,4,5,17,12,5,4,2,5,0,0
207,01/02/15,Sevilla,Espanol,3,2,H,2,1,H,22,5,7,2,20,11,7,2,8,3,0,1
208,02/02/15,Malaga,Valencia,1,0,H,1,0,H,13,10,6,3,19,18,5,3,5,3,0,1
209,04/02/15,Real Madrid,Sevilla,2,1,H,2,0,H,14,15,4,3,9,21,4,6,3,6,0,0
210,06/02/15,La Coruna,Eibar,2,0,H,0,0,D,15,4,5,2,12,21,5,3,2,3,0,0
211,07/02/15,Ath Madrid,Real Madrid,4,0,H,2,0,H,17,4,8,1,17,18,2,3,5,2,0,0
212,07/02/15,Levante,Malaga,4,1,H,2,1,H,11,4,6,3,20,13,2,5,2,1,0,0
213,07/02/15,Sociedad,Celta,1,1,D,1,0,H,7,12,3,3,17,22,2,6,5,4,0,0
214,07/02/15,Villarreal,Granada,2,0,H,1,0,H,9,11,6,3,12,18,5,8,2,1,0,0
215,08/02/15,Ath Bilbao,Barcelona,2,5,A,0,2,A,15,19,6,11,15,10,4,4,3,1,1,0
216,08/02/15,Cordoba,Almeria,1,2,A,1,0,H,14,8,7,2,15,17,6,6,2,5,0,0
217,08/02/15,Espanol,Valencia,1,2,A,0,0,D,9,13,3,5,22,16,7,2,5,4,0,0
218,08/02/15,Getafe,Sevilla,2,1,H,1,0,H,18,9,8,2,6,13,9,5,1,2,0,0
219,09/02/15,Elche,Vallecano,2,0,H,1,0,H,18,11,5,3,21,21,5,4,2,3,0,1
220,13/02/15,Almeria,Sociedad,2,2,D,2,1,H,9,7,4,3,21,15,6,6,5,4,0,0
221,14/02/15,Granada,Ath Bilbao,0,0,D,0,0,D,11,10,4,0,16,9,4,4,4,4,1,0
222,14/02/15,Malaga,Espanol,0,2,A,0,1,A,17,6,5,2,12,18,10,3,3,7,0,1
223,14/02/15,Real Madrid,La Coruna,2,0,H,1,0,H,17,15,6,4,12,17,6,6,2,4,0,0
