,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
56,27/09/15,Getafe,Levante,3,0,H,0,0,D,15,10,8,3,11,10,4,4,2,3,0,0
57,27/09/15,La Coruna,Espanol,3,0,H,2,0,H,14,7,5,3,11,11,7,5,4,3,0,1
58,27/09/15,Sociedad,Ath Bilbao,0,0,D,0,0,D,14,9,4,2,15,19,4,2,3,4,0,0
59,27/09/15,Sp Gijon,Betis,1,2,A,1,0,H,19,13,10,5,11,9,10,4,1,1,0,0
60,02/10/15,Celta,Getafe,0,0,D,0,0,D,18,8,7,2,11,18,9,1,1,5,0,0
61,03/10/15,Espanol,Sp Gijon,1,2,A,0,1,A,13,12,9,2,17,16,9,1,3,3,0,0
62,03/10/15,Granada,La Coruna,1,1,D,0,1,A,10,14,3,3,13,21,2,5,1,3,0,0
63,03/10/15,Las Palmas,Eibar,0,2,A,0,1,A,18,9,4,4,5,16,3,2,2,2,0,0
64,03/10/15,Malaga,Sociedad,3,1,H,2,1,H,11,13,7,5,15,16,2,4,3,2,1,0
65,03/10/15,Sevilla,Barcelona,2,1,H,0,0,D,12,28,5,9,16,16,7,9,5,3,0,0
66,04/10/15,Ath Bilbao,Valencia,3,1,H,1,1,D,16,9,7,4,12,9,11,4,0,4,0,0
67,04/10/15,Ath Madrid,Real Madrid,1,1,D,0,1,A,18,9,4,2,19,12,5,1,6,4,0,0
68,04/10/15,Levante,Villarreal,1,0,H,0,0,D,15,3,5,2,15,17,8,2,4,3,0,1
69,04/10/15,Vallecano,Betis,0,2,A,0,1,A,23,9,9,6,13,14,8,3,4,2,0,0
70,17/10/15,Barcelona,Vallecano,5,2,H,2,1,H,14,22,9,8,8,15,7,10,1,2,0,0
71,17/10/15,Betis,Espanol,1,3,A,0,1,A,21,13,6,4,18,21,4,3,2,4,0,0
72,17/10/15,Eibar,Sevilla,1,1,D,1,0,H,14,15,4,5,16,9,2,5,3,3,0,0
73,17/10/15,Real Madrid,Levante,3,0,H,2,0,H,20,15,6,5,8,10,4,4,1,4,0,0
74,17/10/15,Valencia,Malaga,3,0,H,2,0,H,6,10,3,3,18,21,6,8,3,3,0,0
75,18/10/15,Getafe,Las Palmas,4,0,H,2,0,H,14,16,7,3,18,15,5,1,2,1,0,1
76,18/10/15,La Coruna,Ath Bilbao,2,2,D,0,1,A,16,7,3,2,8,18,4,6,2,2,0,0
77,18/10/15,Sociedad,Ath Madrid,0,2,A,0,1,A,11,7,1,3,14,11,5,2,4,5,2,0
78,18/10/15,Villarreal,Celta,1,2,A,0,1,A,12,13,3,2,10,12,7,4,1,3,1,0
79,19/10/15,Sp Gijon,Granada,3,3,D,1,2,A,16,14,6,7,10,13,6,1,3,4,0,2
80,23/10/15,Vallecano,Espanol,3,0,H,1,0,H,13,9,7,3,15,11,6,5,2,1,1,1
81,24/10/15,Celta,Real Madrid,1,3,A,0,2,A,17,14,7,8,17,16,5,7,4,1,1,0
82,24/10/15,Granada,Betis,1,1,D,1,1,D,17,7,7,2,8,11,3,3,3,3,0,0
83,24/10/15,Malaga,La Coruna,2,0,H,0,0,D,9,10,4,1,11,10,3,5,0,1,0,0
84,24/10/15,Sevilla,Getafe,5,0,H,2,0,H,22,6,13,0,18,15,7,3,1,1,0,1
85,25/10/15,Ath Madrid,Valencia,2,1,H,2,0,H,16,6,8,1,26,10,9,2,4,4,0,0
86,25/10/15,Barcelona,Eibar,3,1,H,1,1,D,14,7,5,5,14,18,6,2,3,5,1,0
87,25/10/15,Las Palmas,Villarreal,0,0,D,0,0,D,6,5,2,0,12,14,6,6,1,2,0,0
88,25/10/15,Levante,Sociedad,0,4,A,0,2,A,13,13,3,6,24,15,10,3,4,3,1,0
89,26/10/15,Ath Bilbao,Sp Gijon,3,0,H,2,0,H,20,6,6,0,8,15,9,3,1,3,0,0
90,30/10/15,La Coruna,Ath Madrid,1,1,D,0,1,A,7,12,3,3,4,9,1,5,2,0,0,0
91,31/10/15,Getafe,Barcelona,0,2,A,0,1,A,6,14,0,6,10,3,3,5,3,0,0,0
92,31/10/15,Real Madrid,Las Palmas,3,1,H,3,1,H,17,8,11,5,12,9,6,3,0,3,0,0
93,31/10/15,Sociedad,Celta,2,3,A,2,1,H,20,16,5,8,9,12,8,7,2,5,0,0
94,31/10/15,Valencia,Levante,3,0,H,0,0,D,13,10,6,5,19,21,5,5,2,3,0,0
95,31/10/15,Villarreal,Sevilla,2,1,H,1,0,H,11,6,5,3,17,14,7,5,5,3,0,0
96,01/11/15,Betis,Ath Bilbao,1,3,A,0,2,A,11,23,3,9,9,13,7,9,2,4,0,0
97,01/11/15,Eibar,Vallecano,1,0,H,1,0,H,12,6,1,2,17,11,2,6,2,3,0,0
98,01/11/15,Espanol,Granada,1,1,D,0,0,D,10,9,4,5,16,19,5,6,1,6,1,0
99,01/11/15,Sp Gijon,Malaga,1,0,H,1,0,H,8,13,6,5,11,8,7,5,1,3,0,0
100,06/11/15,Las Palmas,Sociedad,2,0,H,1,0,H,8,11,4,6,17,14,0,8,1,4,0,0
101,07/11/15,Celta,Valencia,1,5,A,1,2,A,17,9,3,5,16,27,15,5,1,3,0,0
102,07/11/15,Eibar,Getafe,3,1,H,2,1,H,16,10,7,4,13,9,5,7,3,1,0,1
103,07/11/15,Levante,La Coruna,1,1,D,0,1,A,15,9,5,5,13,10,9,5,4,2,0,0
104,07/11/15,Malaga,Betis,0,1,A,0,0,D,12,7,5,2,16,12,6,3,2,5,0,0
105,07/11/15,Vallecano,Granada,2,1,H,2,0,H,7,8,2,2,15,14,4,1,2,3,1,0
106,08/11/15,Ath Bilbao,Espanol,2,1,H,1,0,H,8,5,2,1,17,25,4,5,2,6,0,0
107,08/11/15,Ath Madrid,Sp Gijon,1,0,H,0,0,D,15,9,3,2,14,15,5,1,4,3,0,0
108,08/11/15,Barcelona,Villarreal,3,0,H,0,0,D,20,5,9,2,12,19,7,2,5,3,0,0
109,08/11/15,Sevilla,Real Madrid,3,2,H,1,1,D,14,28,5,10,13,11,4,6,1,1,0,0
110,21/11/15,Espanol,Malaga,2,0,H,2,0,H,7,14,3,5,20,16,3,8,3,2,0,0
111,21/11/15,La Coruna,Celta,2,0,H,1,0,H,5,6,2,4,16,13,2,10,6,3,0,0
112,21/11/15,Real Madrid,Barcelona,0,4,A,0,2,A,13,18,7,7,13,10,10,4,3,2,1,0
113,21/11/15,Sociedad,Sevilla,2,0,H,0,0,D,14,12,7,5,6,14,7,5,2,1,0,0
114,21/11/15,Valencia,Las Palmas,1,1,D,1,0,H,9,18,3,7,22,12,1,8,3,3,0,0
115,22/11/15,Betis,Ath Madrid,0,1,A,0,1,A,6,11,3,4,12,8,2,6,1,4,0,0
116,22/11/15,Granada,Ath Bilbao,2,0,H,1,0,H,8,11,1,6,21,15,2,7,6,3,0,0
117,22/11/15,Sp Gijon,Levante,0,3,A,0,3,A,13,13,2,6,15,15,5,3,4,5,0,0
118,22/11/15,Villarreal,Eibar,1,1,D,0,1,A,12,17,5,7,8,13,12,6,3,2,0,1
119,23/11/15,Getafe,Vallecano,1,1,D,0,0,D,15,8,8,4,20,15,5,7,5,4,0,0
120,27/11/15,Levante,Betis,0,1,A,0,1,A,14,11,1,5,12,15,7,4,6,4,1,1
121,28/11/15,Ath Madrid,Espanol,1,0,H,1,0,H,21,5,6,0,16,26,6,2,0,4,0,0
122,28/11/15,Barcelona,Sociedad,4,0,H,2,0,H,11,10,6,2,11,14,6,4,0,5,0,0
123,28/11/15,Celta,Sp Gijon,2,1,H,1,0,H,6,9,4,2,14,9,3,5,3,0,0,0
124,28/11/15,Las Palmas,La Coruna,0,2,A,0,1,A,8,10,5,5,14,13,6,4,4,3,0,0
125,28/11/15,Malaga,Granada,2,2,D,1,0,H,12,11,7,4,15,20,7,4,2,6,1,0
126,29/11/15,Eibar,Real Madrid,0,2,A,0,1,A,8,17,3,6,20,7,6,5,3,4,0,0
127,29/11/15,Getafe,Villarreal,2,0,H,1,0,H,11,7,5,0,11,15,6,6,4,2,0,0
128,29/11/15,Sevilla,Valencia,1,0,H,0,0,D,15,0,5,0,26,20,17,0,3,2,0,2
129,29/11/15,Vallecano,Ath Bilbao,0,3,A,0,2,A,15,10,3,4,16,14,6,2,4,0,0,1
130,05/12/15,Betis,Celta,1,1,D,0,1,A,27,5,6,1,9,16,8,0,5,5,0,1
131,05/12/15,Granada,Ath Madrid,0,2,A,0,1,A,18,11,3,4,7,8,6,8,2,1,0,0
132,05/12/15,La Coruna,Sevilla,1,1,D,1,0,H,8,8,4,2,10,9,6,2,2,3,0,0
133,05/12/15,Real Madrid,Getafe,4,1,H,4,0,H,16,7,8,3,9,12,3,4,1,0,0,0
134,05/12/15,Valencia,Barcelona,1,1,D,0,0,D,10,16,3,5,13,15,0,6,3,1,0,0
135,06/12/15,Ath Bilbao,Malaga,0,0,D,0,0,D,11,7,2,2,7,21,6,1,2,3,1,0
136,06/12/15,Sociedad,Eibar,2,1,H,1,1,D,10,5,7,1,12,16,4,3,3,3,0,0
137,06/12/15,Sp Gijon,Las Palmas,3,1,H,1,1,D,21,12,9,7,9,10,8,4,2,1,0,1
138,06/12/15,Villarreal,Vallecano,2,1,H,0,1,A,14,8,5,4,16,14,5,4,1,4,0,0
139,07/12/15,Espanol,Levante,1,1,D,0,1,A,9,12,1,5,13,14,2,6,4,5,0,0
140,11/12/15,Getafe,Sociedad,1,1,D,0,0,D,9,10,5,6,15,12,5,5,3,3,0,0
141,12/12/15,Barcelona,La Coruna,2,2,D,1,0,H,17,13,7,4,4,11,6,2,0,2,0,0
142,12/12/15,Celta,Espanol,1,0,H,1,0,H,16,6,3,2,13,23,4,9,3,2,1,0
143,12/12/15,Las Palmas,Betis,1,0,H,0,0,D,16,8,4,2,10,9,2,2,3,0,0,0
144,12/12/15,Levante,Granada,1,2,A,0,0,D,7,8,5,3,25,27,2,1,2,2,0,0
145,12/12/15,Sevilla,Sp Gijon,2,0,H,0,0,D,18,4,7,1,13,10,3,1,3,2,0,1
146,13/12/15,Ath Madrid,Ath Bilbao,2,1,H,1,1,D,8,10,4,5,13,10,3,6,1,1,0,0
147,13/12/15,Eibar,Valencia,1,1,D,1,0,H,14,6,5,1,20,14,9,2,4,4,1,1
148,13/12/15,Vallecano,Malaga,1,2,A,1,0,H,13,15,3,5,13,17,6,7,1,2,0,0
149,13/12/15,Villarreal,Real Madrid,1,0,H,1,0,H,7,20,3,1,11,9,3,9,2,2,0,0
150,19/12/15,Betis,Sevilla,0,0,D,0,0,D,12,8,0,2,23,19,8,8,7,5,0,0
151,19/12/15,Espanol,Las Palmas,1,0,H,0,0,D,12,9,2,4,29,21,7,5,4,4,0,0
152,19/12/15,La Coruna,Eibar,2,0,H,1,0,H,13,13,3,1,10,11,9,8,0,2,1,0
153,19/12/15,Valencia,Getafe,2,2,D,2,2,D,12,9,7,3,13,20,5,1,2,6,0,0
154,20/12/15,Ath Bilbao,Levante,2,0,H,0,0,D,18,6,7,1,15,17,10,3,0,5,0,0
155,20/12/15,Granada,Celta,0,2,A,0,2,A,11,10,1,4,17,11,9,3,4,2,0,0
156,20/12/15,Malaga,Ath Madrid,1,0,H,0,0,D,17,6,4,3,9,13,4,1,3,4,0,1
157,20/12/15,Real Madrid,Vallecano,10,2,H,4,2,H,30,9,15,4,12,12,10,4,1,2,0,2
158,20/12/15,Sociedad,Villarreal,0,2,A,0,1,A,16,7,2,5,12,21,9,1,2,1,0,0
159,30/12/15,Barcelona,Betis,4,0,H,2,0,H,16,11,7,4,16,20,2,3,1,3,0,0
160,30/12/15,Celta,Ath Bilbao,0,1,A,0,0,D,7,13,3,5,11,11,3,3,3,4,0,0
161,30/12/15,Eibar,Sp Gijon,2,0,H,0,0,D,16,6,5,0,16,17,5,7,3,3,0,0
162,30/12/15,Getafe,La Coruna,0,0,D,0,0,D,15,10,5,3,9,8,9,2,3,1,0,0
163,30/12/15,Las Palmas,Granada,4,1,H,1,0,H,7,11,4,4,5,21,4,4,2,5,0,1
164,30/12/15,Levante,Malaga,0,1,A,0,0,D,7,9,1,5,20,12,6,5,7,5,0,0
165,30/12/15,Real Madrid,Sociedad,3,1,H,1,0,H,23,13,13,2,12,9,13,2,1,4,0,0
166,30/12/15,Sevilla,Espanol,2,0,H,2,0,H,15,12,10,1,15,16,6,6,3,3,0,0
167,30/12/15,Vallecano,Ath Madrid,0,2,A,0,0,D,10,17,3,6,12,15,3,8,3,3,0,0
168,31/12/15,Villarreal,Valencia,1,0,H,0,0,D,9,6,3,2,21,19,3,6,1,3,0,0
169,02/01/16,Ath Madrid,Levante,1,0,H,0,0,D,16,9,2,1,12,14,13,1,0,4,0,0
170,02/01/16,Espanol,Barcelona,0,0,D,0,0,D,4,10,1,2,22,10,6,10,5,3,0,0
171,02/01/16,Malaga,Celta,2,0,H,2,0,H,14,8,4,1,22,11,5,2,4,2,0,1
172,03/01/16,Ath Bilbao,Las Palmas,2,2,D,1,0,H,16,11,5,5,24,13,5,5,3,4,0,0
173,03/01/16,Betis,Eibar,0,4,A,0,2,A,9,6,5,5,16,14,6,2,4,3,0,0
174,03/01/16,Granada,Sevilla,2,1,H,2,1,H,9,14,4,7,17,13,2,9,2,2,0,1
175,03/01/16,La Coruna,Villarreal,1,2,A,0,1,A,11,6,4,4,13,11,9,3,3,3,0,0
176,03/01/16,Valencia,Real Madrid,2,2,D,1,1,D,11,17,4,4,18,17,4,7,1,1,0,1
177,03/01/16,Vallecano,Sociedad,2,2,D,1,1,D,12,15,5,7,15,11,7,7,3,3,0,0
178,04/01/16,Sp Gijon,Getafe,1,2,A,1,0,H,17,11,4,2,13,14,4,2,3,3,0,0
179,09/01/16,Barcelona,Granada,4,0,H,2,0,H,17,8,8,4,14,19,7,0,1,4,0,0
180,09/01/16,Getafe,Betis,1,0,H,0,0,D,8,11,3,2,19,11,8,4,1,3,0,0
181,09/01/16,Levante,Vallecano,2,1,H,0,0,D,10,10,4,4,16,15,5,5,5,1,0,0
182,09/01/16,Real Madrid,La Coruna,5,0,H,2,0,H,23,18,9,4,9,8,5,9,0,3,0,0
183,09/01/16,Sevilla,Ath Bilbao,2,0,H,1,0,H,4,11,4,3,14,13,6,8,2,3,0,0
184,10/01/16,Celta,Ath Madrid,0,2,A,0,0,D,6,10,1,3,14,14,4,4,2,1,0,0
185,10/01/16,Eibar,Espanol,2,1,H,1,1,D,20,7,6,4,13,15,8,2,3,2,0,0
186,10/01/16,Las Palmas,Malaga,1,1,D,0,0,D,5,11,3,3,21,11,2,5,5,4,0,0
187,10/01/16,Sociedad,Valencia,2,0,H,0,0,D,24,10,7,3,16,13,5,6,3,4,0,0
188,10/01/16,Villarreal,Sp Gijon,2,0,H,1,0,H,7,12,4,2,10,12,3,9,4,2,0,0
189,16/01/16,Celta,Levante,4,3,H,2,0,H,14,17,6,7,14,16,6,2,1,4,0,0
190,16/01/16,Sevilla,Malaga,2,1,H,2,0,H,8,14,4,3,21,21,6,4,2,2,1,1
191,16/01/16,Sociedad,La Coruna,1,1,D,0,1,A,16,7,6,4,9,11,9,4,1,3,0,0
192,16/01/16,Villarreal,Betis,0,0,D,0,0,D,9,15,2,2,12,11,7,11,2,1,0,0
193,17/01/16,Barcelona,Ath Bilbao,6,0,H,2,0,H,20,9,8,3,6,7,6,2,2,2,0,1
194,17/01/16,Getafe,Espanol,3,1,H,2,1,H,18,13,4,6,12,13,3,7,2,2,0,0
195,17/01/16,Las Palmas,Ath Madrid,0,3,A,0,1,A,11,11,3,5,7,21,3,4,0,2,0,0
196,17/01/16,Real Madrid,Sp Gijon,5,1,H,5,0,H,17,9,10,2,10,15,4,4,1,1,0,0
197,17/01/16,Valencia,Vallecano,2,2,D,0,1,A,13,18,5,8,17,20,7,9,1,3,0,0
198,18/01/16,Eibar,Granada,5,1,H,2,0,H,12,4,7,1,11,17,3,2,1,4,0,0
199,22/01/16,Sp Gijon,Sociedad,5,1,H,3,1,H,11,9,7,3,13,12,6,2,2,2,0,0
200,23/01/16,Espanol,Villarreal,2,2,D,2,1,H,11,14,5,5,12,15,3,9,3,1,1,0
201,23/01/16,Granada,Getafe,3,2,H,2,0,H,20,9,9,2,12,16,5,3,3,3,0,0
202,23/01/16,Malaga,Barcelona,1,2,A,1,1,D,15,12,9,6,16,9,4,3,3,3,0,0
203,23/01/16,Vallecano,Celta,3,0,H,3,0,H,26,3,10,1,20,13,7,1,3,5,0,0
204,24/01/16,Ath Bilbao,Eibar,5,2,H,3,1,H,10,9,5,2,13,14,7,2,2,2,0,0
205,24/01/16,Ath Madrid,Sevilla,0,0,D,0,0,D,21,7,3,1,13,13,8,5,4,3,0,1
206,24/01/16,Betis,Real Madrid,1,1,D,1,0,H,4,18,2,8,17,13,1,9,3,2,0,0
207,24/01/16,La Coruna,Valencia,1,1,D,1,0,H,10,10,2,3,13,9,8,6,3,3,0,0
208,25/01/16,Levante,Las Palmas,3,2,H,1,0,H,12,13,8,4,22,11,2,4,2,4,1,0
